iter	Passed	Remaining
604	26895	17559
605	26936	17513
606	26979	17467
607	27017	17419
608	27059	17373
609	27101	17327
610	27142	17280
611	27185	17235
612	27227	17189
613	27269	17143
614	27309	17096
615	27351	17050
616	27392	17003
617	27433	16957
618	27477	16912
619	27517	16865
620	27560	16820
621	27599	16772
622	27641	16726
623	27685	16682
624	27729	16637
625	27772	16592
626	27812	16545
627	27856	16501
628	27901	16457
629	27944	16411
630	27986	16365
631	28029	16321
632	28072	16276
633	28115	16230
634	28157	16185
635	28199	16139
636	28243	16094
637	28282	16047
638	28325	16002
639	28367	15956
640	28409	15910
641	28447	15863
642	28491	15818
643	28532	15772
644	28572	15725
645	28615	15681
646	28658	15636
647	28698	15589
648	28740	15543
649	28782	15498
650	28821	15451
651	28865	15406
652	28906	15360
653	28946	15314
654	28988	15268
655	29028	15222
656	29068	15175
657	29108	15129
658	29151	15084
659	29198	15041
660	29238	14995
661	29277	14948
662	29321	14904
663	29361	14857
664	29403	14812
665	29444	14766
666	29483	14719
667	29527	14675
668	29567	14629
669	29609	14583
670	29685	14555
671	29738	14515
672	29778	14469
673	29819	14422
674	29862	14378
675	29904	14333
676	29945	14287
677	29989	14242
678	30031	14197
679	30073	14152
680	30115	14107
681	30159	14062
682	30198	14015
683	30243	13972
684	30284	13926
685	30326	13881
686	30367	13835
687	30409	13790
688	30453	13745
689	30498	13702
690	30540	13656
691	30582	13611
692	30624	13566
693	30666	13521
694	30707	13475
695	30747	13429
696	30789	13384
697	30830	13339
698	30874	13294
699	30916	13249
700	30957	13204
701	31002	13160
702	31046	13116
703	31090	13072
704	31133	13027
705	31176	12982
706	31221	12939
707	31266	12895
708	31308	12849
709	31351	12805
710	31391	12759
711	31439	12716
712	31481	12672
713	31524	12627
714	31567	12582
715	31611	12538
716	31653	12493
717	31694	12448
718	31737	12403
719	31780	12359
720	31817	12312
721	31858	12266
722	31899	12221
723	31942	12177
724	31982	12131
725	32024	12086
726	32067	12041
727	32108	11996
728	32150	11951
729	32193	11907
730	32235	11862
731	32277	11817
732	32321	11773
733	32361	11727
734	32402	11682
735	32445	11637
736	32487	11593
737	32529	11548
738	32574	11504
739	32616	11459
740	32656	11414
741	32698	11369
742	32743	11325
743	32785	11281
744	32830	11237
745	32871	11192
746	32910	11146
747	32954	11102
748	32998	11058
749	33038	11012
750	33084	10969
751	33129	10925
752	33177	10883
753	33219	10838
754	33260	10793
755	33305	10749
756	33349	10705
757	33391	10660
758	33431	10615
759	33473	10570
760	33517	10526
761	33558	10481
762	33602	10437
763	33642	10392
764	33683	10347
765	33722	10301
766	33764	10257
767	33809	10213
768	33852	10168
769	33894	10124
770	33932	10078
771	33974	10033
772	34013	9988
773	34055	9943
774	34117	9905
775	34175	9865
776	34220	9821
777	34263	9776
778	34303	9731
779	34343	9686
780	34386	9642
781	34427	9597
782	34469	9552
783	34510	9507
784	34549	9462
785	34595	9419
786	34638	9374
787	34681	9330
788	34725	9286
789	34769	9242
790	34813	9198
791	34854	9153
792	34896	9109
793	34940	9065
794	34983	9021
795	35024	8976
796	35067	8931
797	35109	8887
798	35152	8843
799	35194	8798
800	35237	8754
801	35285	8711
802	35323	8665
803	35366	8621
804	35411	8577
805	35456	8534
806	35498	8489
807	35544	8446
808	35587	8401
809	35626	8356
810	35665	8311
811	35709	8267
812	35754	8223
813	35795	8179
